n,height_bst,height_rt
100,100,14
100,100,11
100,100,18
150,150,16
150,150,16
150,150,15
225,225,15
225,225,15
225,225,14
337,337,18
337,337,20
337,337,15
505,505,16
505,505,19
505,505,17
757,757,24
757,757,21
757,757,23
1135,1135,20
1135,1135,25
1135,1135,20
1702,1702,23
1702,1702,23
1702,1702,26
2553,2553,24
2553,2553,27
2553,2553,25
